"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","76E11","76E11","attP1","VK5","4","28:33",NA,3,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","4","37:42",NA,4,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 76E11  CsChrimson  - 76E11 GCamp6m","Male","LexA","Gal4","76E11","76E11","attP1","VK5","4","44:49",NA,5,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Female","LexA","Gal4","47G08","47G08","attP1","VK5","7","54:59",NA,6,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Male","LexA","Gal4","47G08","47G08","attP1","VK5","7","62:67",NA,7,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","7","70:75",NA,8,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","7","79:84",NA,9,NA,NA,NA,NA,":Problematic:","2016-05-13 Fri"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","5","3:8",NA,1,NA,NA,NA,NA,":Problematic:","2016-05-14 Sat"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","5","9:14",NA,2,NA,NA,NA,NA,":Problematic:","2016-05-14 Sat"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","5","18:23",NA,3,NA,NA,NA,NA,":Problematic:","2016-05-14 Sat"
"*** 47G08  CsChrimson  - 47G08L GCamp6m","Female","Gal4","LexA","47G08","47G08","attP1","VK5","5","25:30",NA,4,NA,NA,NA,NA,":Problematic:","2016-05-14 Sat"
"*** 76E11  CsChrimson  - 75H04 GCamp6m","Male","LexA","Gal4","76E11","75H04","attP1","VK5","5",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-05-14 Sat"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Female","LexA","Gal4","12G04","49H05","attP1","VK5","5","34:39","Dict(\"LAL-out\"=>34:39)",5,NA,NA,NA,NA,NA,"2016-05-14 Sat"
"*** 12G04  CsChrimson  - 49H05 GCamp6m","Male","LexA","Gal4","12G04","49H05","attP1","VK5","6","4:9","Dict(\"LAL-out\"=>4:9)",1,NA,NA,NA,NA,NA,"2016-05-15 Sun"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Female","LexA","Gal4","47G08","47G08","attP1","VK5","5","13:18",NA,2,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Female","LexA","Gal4","47G08","47G08","attP1","VK5","5","26:31",NA,3,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Male","LexA","Gal4","47G08","47G08","attP1","VK5","5","32:44",NA,4,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Male","LexA","Gal4","47G08","47G08","attP1","VK5","6","46:51",NA,5,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
"*** 47G08L  CsChrimson  - 47G08 GCamp6m","Male","LexA","Gal4","47G08","47G08","attP1","VK5","6","52:60",NA,6,NA,NA,NA,NA,":Problematic:","2016-05-15 Sun"
