"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 60D05  CsChrimson  - 60D05L GCamp6m","Male","Gal4","LexA","60D05","60D05","attP1","VK5","7","57:62","Dict(\"PB\"=>57:62)",8,NA,NA,NA,NA,NA,"2016-07-07 Thu"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Male","LexA","Gal4","76E11","85H06","attP1","VK5","7","69:74","Dict(\"FB\"=>69:74)",9,NA,NA,NA,NA,NA,"2016-07-07 Thu"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","55G08","attP1","VK5","7","1:12","Dict(\"FB\"=>1:6,\"LAL\"=>7:12)",1,NA,NA,NA,NA,NA,"2016-07-08 Fri"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","55G08","attP1","VK5","7","13:24","Dict(\"FB\"=>13:18,\"LAL\"=>19:24)",2,NA,NA,NA,NA,NA,"2016-07-08 Fri"
"*** 55G08  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","55G08","attP1","VK5","7","31:36","Dict(\"LAL\"=>31:36)",3,NA,NA,NA,NA,NA,"2016-07-08 Fri"
"*** 18A05  CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","18A05","attP5","VK5","7","37:42",NA,4,NA,NA,NA,NA,":Problematic:","2016-07-08 Fri"
"*** 76E11L  CsChrimson  - 85H06 GCamp6m","Female","LexA","Gal4","76E11","85H06","attP1","VK5","7","43:48","Dict(\"FB\"=>43:48)",5,NA,NA,NA,NA,NA,"2016-07-08 Fri"
"*** 32A11L  CsChrimson  - 37F06 GCamp6m",NA,"LexA","Gal4","32A11","37F06","attP1","VK5","7",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-08 Fri"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","7","[56:61;66:71]","Dict(\"EB\"=>56:61,\"EB-in\"=>66:71)",6,NA,NA,NA,NA,NA,"2016-07-08 Fri"
"*** 12G04L CsChrimson  - 85H06 GCamp6m",NA,"LexA","Gal4","12G04","85H06","attP1","VK5","5",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-10 Sun"
"*** 76E11  CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","5","4:9","Dict(\"FB\"=>4:9)",1,NA,NA,NA,NA,NA,"2016-07-10 Sun"
"*** 76E11  CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","76E11","attP1","VK5","5","14:19","Dict(\"FB\"=>14:19)",2,NA,NA,NA,NA,NA,"2016-07-10 Sun"
"*** 76E11  CsChrimson  - 67D09L GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","5","24:29","Dict(\"FB\"=>24:29)",3,NA,NA,NA,NA,NA,"2016-07-10 Sun"
"*** 49H05L  CsChrimson  - 49H05 GCamp6m",NA,"LexA","Gal4","49H05","49H05","attP1","VK5","5",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-10 Sun"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Male","LexA","Gal4","76E11","32A11","attP1","VK5","6","[7:9; 11:19]","Dict(\"EB\"=>[7:9;11:13],\"EB-in\"=>14:19)",1,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 76E11L  CsChrimson  - 32A11 GCamp6m","Female","LexA","Gal4","76E11","32A11","attP1","VK5","6","[24:29; 30;32:33;35:37]","Dict(\"EB\"=>24:29,\"EB-in\"=>[30;32:33;35:37])",2,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 76E11  CsChrimson  - 67D09L GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","6","54:59","Dict(\"FB\"=>54:59)",3,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 76E11  CsChrimson  - 67D09L GCamp6m","Male","Gal4","LexA","67D09","76E11","attP1","VK5","6","62:67","Dict(\"FB\"=>62:67)",4,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 60D05  CsChrimson  - 67D09L GCamp6m","Male","Gal4","LexA","67D09","60D05","attP1","VK5","6","74:79","Dict(\"FB\"=>74:79)",5,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","87G07","attP1","VK5","6","[83:85; 87:89]","Dict(\"LAL\"=>[83:85;87:89])",6,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","87G07","attP1","VK5","6","90:95","Dict(\"LAL\"=>90:95)",7,NA,NA,NA,NA,NA,"2016-07-11 Mon"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","87G07","attP1","VK5","7","4:9","Dict(\"LAL\"=>4:9)",1,NA,NA,NA,NA,NA,"2016-07-12 Tue"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","87G07","attP1","VK5","7","[12:17;19:24]","Dict(\"LAL\"=>12:17,\"FB\"=>19:24)",2,NA,NA,NA,NA,NA,"2016-07-12 Tue"
"*** 60D05L  CsChrimson  - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","7","[29:32;34:35]","Dict(\"LAL\"=>[29:32;34:35])",3,NA,NA,NA,NA,NA,"2016-07-12 Tue"
"*** 60D05L  CsChrimson  - 31A11 GCamp6m","Male","LexA","Gal4","60D05","31A11","attP1","VK5","7","44:49","Dict(\"LAL\"=>44:49)",5,NA,NA,NA,NA,NA,"2016-07-12 Tue"
"*** 60D05L  CsChrimson  - 31A11 GCamp6m","Female","LexA","Gal4","60D05","31A11","attP1","VK5","7","56:61","Dict(\"LAL\"=>56:61)",6,NA,NA,NA,NA,NA,"2016-07-12 Tue"
"*** 12G04L CsChrimson  - 85H06 GCamp6m",NA,"LexA","Gal4","12G04","85H06","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-13 Wed"
"*** 49H05L  CsChrimson  - 49H05 GCamp6m",NA,"LexA","Gal4","49H05","49H05","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-13 Wed"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Male","Gal4","LexA","84H05","87G07","attP1","VK5","6","3:8","Dict(\"LAL\"=>3:8)",1,NA,NA,NA,NA,NA,"2016-07-13 Wed"
"*** 87G07  CsChrimson  - 84H05L GCamp6m","Female","Gal4","LexA","84H05","87G07","attP1","VK5","6","10:15","Dict(\"LAL\"=>10:15)",2,NA,NA,NA,NA,NA,"2016-07-13 Wed"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","6","18:23","Dict(\"NO\"=>18:23)",3,NA,NA,NA,NA,NA,"2016-07-13 Wed"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","6","24:29","Dict(\"NO\"=>24:29)",4,NA,NA,NA,NA,NA,"2016-07-13 Wed"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","6","30:35",NA,5,NA,NA,NA,NA,":Problematic:","2016-07-13 Wed"
"*** 26B07  CsChrimson  - 49H05L GCamp6m",NA,"Gal4","LexA","49H05","26B07","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-14 Thu"
"*** 75H04  CsChrimson  - 76E11L GCamp6m",NA,"Gal4","LexA","76E11","75H04","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-14 Thu"
"*** 26B07  CsChrimson  - 12G04L GCamp6m",NA,"Gal4","LexA","12G04","26B07","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-14 Thu"
"*** 26B07  CsChrimson  - 49H05L GCamp6m","Female","Gal4","LexA","49H05","26B07","attP1","VK5","6","3:14","Dict(\"FB\"=>3:8,\"LAL-in\"=>9:14)",1,NA,NA,NA,NA,NA,"2016-07-14 Thu"
"*** 26B07  CsChrimson  - 49H05L GCamp6m","Female","Gal4","LexA","49H05","26B07","attP1","VK5","6","32:37","Dict(\"FB\"=>32:37)",2,NA,NA,NA,NA,NA,"2016-07-14 Thu"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","7","38:43","Dict(\"LAL\"=>38:43)",3,NA,NA,NA,NA,NA,"2016-07-14 Thu"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Male","Gal4","LexA","12G04","75H04","attP1","VK5","7","[2:3; 5:8]","Dict(\"LAL\"=>[2:3;5:8])",1,NA,NA,NA,NA,NA,"2016-07-15 Fri"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Male","Gal4","LexA","12G04","75H04","attP1","VK5","7","9:14","Dict(\"NO\"=>9:14)",2,NA,NA,NA,NA,NA,"2016-07-15 Fri"
"*** 75H04  CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","7","16:21","Dict(\"LAL\"=>16:21)",NA,NA,NA,NA,NA,NA,"2016-07-15 Fri"
"*** 26B07  CsChrimson  - 49H05L GCamp6m","Male","Gal4","LexA","49H05","26B07","attP1","VK5","7","24:29","Dict(\"FB\"=>24:29)",4,NA,NA,NA,NA,NA,"2016-07-15 Fri"
"*** 75H04  CsChrimson  - 76E11L GCamp6m",NA,"Gal4","LexA","76E11","75H04","attP1","VK5","7",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-15 Fri"
"*** 26B07  CsChrimson  - 12G04L GCamp6m",NA,"Gal4","LexA","12G04","26B07","attP1","VK5","7",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-15 Fri"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","5","5:10","Dict(\"Gall\"=>5:10)",1,NA,NA,NA,NA,NA,"2016-07-16 Sat"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","18A05","18A05","attP1","VK5","5","22:27","Dict(\"Gall\"=>22:27)",3,NA,NA,NA,NA,NA,"2016-07-16 Sat"
"*** 26B07 CsChrimson  - 49H05L GCamp6m","Male","Gal4","LexA","49H05","26B07","attP1","VK5","5","34:39","Dict(\"FB\"=>34:39)",4,NA,NA,NA,NA,NA,"2016-07-16 Sat"
"*** 26B07 CsChrimson  - 49H05L GCamp6m","Female","Gal4","LexA","49H05","26B07","attP1","VK5","5","48:59","Dict(\"FB\"=>48:53,\"LAL-in\"=>54:59)",5,NA,NA,NA,NA,NA,"2016-07-16 Sat"
"*** 26B07 CsChrimson  - 49H05L GCamp6m","Male","Gal4","LexA","49H05","26B07","attP1","VK5","5","64:69","Dict(\"FB\"=>64:69)",6,NA,NA,NA,NA,NA,"2016-07-16 Sat"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","18A05","18A05","attP1","VK5","6","6:17","Dict(\"Gall\"=>6:11,\"EB\"=>12:17)",1,NA,NA,NA,NA,NA,"2016-07-17 Sun"
"*** 49H05L CsChrimson  - 49H05 GCamp6m",NA,"LexA","Gal4","49H05","49H05","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-17 Sun"
"*** 75H04 CsChrimson  - 76E11L GCamp6m",NA,"Gal4","LexA","76E11","75H04","attP1","VK5","6",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-17 Sun"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","6","31:36","Dict(\"Gall\"=>31:36)",2,NA,NA,NA,NA,NA,"2016-07-17 Sun"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Male","LexA","Gal4","18A05","18A05","attP1","VK5","7","6:11","Dict(\"Gall\"=>6:11)",1,NA,NA,NA,NA,NA,"2016-07-18 Mon"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","7","18:23","Dict(\"Gall\"=>18:23)",2,NA,NA,NA,NA,NA,"2016-07-18 Mon"
"*** 75H04 CsChrimson  - 76E11L GCamp6m",NA,"Gal4","LexA","76E11","75H04","attP1","VK5","7",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-18 Mon"
"*** 26B07 CsChrimson  - 12G04L GCamp6m",NA,"Gal4","LexA","12G04","26B07","attP1","VK5","7",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-18 Mon"
"*** 75H04 CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","5","28:33","Dict(\"LAL\"=>28:33)",3,NA,NA,NA,NA,NA,"2016-07-18 Mon"
"*** 75H04 CsChrimson  - 12G04L GCamp6m","Female","Gal4","LexA","12G04","75H04","attP1","VK5","5","34:39","Dict(\"LAL\"=>34:39)",4,NA,NA,NA,NA,":Problematic:","2016-07-18 Mon"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","6","2:7","Dict(\"Gall\"=>2:7)",1,NA,NA,NA,NA,NA,"2016-07-19 Tue"
"*** 18A05L CsChrimson  - 18A05 GCamp6m","Female","LexA","Gal4","18A05","18A05","attP1","VK5","6","12:17","Dict(\"Gall\"=>12:17)",2,NA,NA,NA,NA,NA,"2016-07-19 Tue"
"*** 85H06L CsChrimson  - 84H05 GCamp6m","Male","LexA","Gal4","85H06","84H05","attP1","VK5","4","31:36","Dict(\"LAL\"=>31:36)",3,NA,NA,NA,NA,NA,"2016-07-19 Tue"
"*** 85H06L CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","85H06","84H05","attP1","VK5","4","40:45","Dict(\"LAL\"=>40:45)",4,NA,NA,NA,NA,NA,"2016-07-19 Tue"
"*** 85H06L CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","85H06","84H05","attP1","VK5","4","50:55","Dict(\"LAL\"=>50:55)",5,NA,NA,NA,NA,NA,"2016-07-19 Tue"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Female","Gal4","LexA","72H06","72H06","attP1","VK5","5","9:15",NA,1,NA,NA,NA,NA,":Problematic:","2016-07-20 Wed"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","5","24:29","Dict(\"LAL\"=>24:29)",2,NA,NA,NA,NA,NA,"2016-07-20 Wed"
"*** 85H065L CsChrimson  - 84H05 GCamp6m","Female","LexA","Gal4","85H06","84H05","attP1","VK5","5","31:36","Dict(\"LAL\"=>31:36)",3,NA,NA,NA,NA,NA,"2016-07-20 Wed"
"*** 85H065L CsChrimson  - 84H05 GCamp6m","Male","LexA","Gal4","85H06","84H05","attP1","VK5","5","43:48","Dict(\"LAL\"=>43:48)",4,NA,NA,NA,NA,NA,"2016-07-20 Wed"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","5","54:59",NA,5,NA,NA,NA,NA,":Problematic:","2016-07-20 Wed"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","5","66:71",NA,6,NA,NA,NA,NA,":Problematic:","2016-07-20 Wed"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","5","81:86","Dict(\"LAL\"=>81:86)",7,NA,NA,NA,NA,NA,"2016-07-20 Wed"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","6","10:15","Dict(\"LAL\"=>10:15)",1,NA,NA,NA,NA,NA,"2016-07-21 Thu"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","6","17:22","Dict(\"LAL\"=>17:22)",2,NA,NA,NA,NA,NA,"2016-07-21 Thu"
"*** 85H06L CsChrimson  - 84H05 GCamp6m","Male","LexA","Gal4","85H06","84H05","attP1","VK5","6","37:42","Dict(\"LAL\"=>37:42)",3,NA,NA,NA,NA,NA,"2016-07-21 Thu"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","6","46:51",NA,4,NA,NA,NA,NA,":Problematic:","2016-07-21 Thu"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","6","56:61",NA,5,NA,NA,NA,NA,":Problematic:","2016-07-21 Thu"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","6","67:72",NA,6,NA,NA,NA,NA,":Problematic:","2016-07-21 Thu"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","7","5:10","Dict(\"LAL\"=>5:10)",1,NA,NA,NA,NA,NA,"2016-07-22 Fri"
"*** 37F06 CsChrimson  - 37F06L GCamp6m","Female","Gal4","LexA","37F06","37F06","attP5","VK5","7","21:26",NA,2,NA,NA,NA,NA,":Problematic:","2016-07-22 Fri"
"*** 72H06 CsChrimson  - 72H06L GCamp6m","Male","Gal4","LexA","72H06","72H06","attP1","VK5","7","30:35","Dict(\"LAL\"=>30:35)",3,NA,NA,NA,NA,NA,"2016-07-22 Fri"
"*** 76E11L CsChrimson  - 37F06 GCamp6m","Male","LexA","Gal4","76E11","37F06","attP1","VK5","4","44:49","Dict(\"EB\"=>44:49)",4,NA,NA,NA,NA,NA,"2016-07-22 Fri"
"*** 76E11L CsChrimson  - 37F06 GCamp6m","Male","LexA","Gal4","76E11","37F06","attP1","VK5","4","70:96","Dict(\"EB\"=>70:96)",5,"Picrotoxin","18:01:00 - 18:04:00","10uM",NA,NA,"2016-07-22 Fri"
"*** 76E11L CsChrimson  - 37F06 GCamp6m","Female","LexA","Gal4","76E11","37F06","attP1","VK5","5","7:12","Dict(\"EB\"=>7:12)",1,NA,NA,NA,NA,NA,"2016-07-23 Sat"
"*** 47G08 CsChrimson  - 47G08L GCamp6m",NA,"Gal4","LexA","47G08","47G08","attP1","VK5","3",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-24 Sun"
"*** 55G08 CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","55G08","attP1","VK5","3","8:26, 28:36","Dict(\"FB\" => [8:26;28:36])",1,"Picrotoxin","12:21:00 - 12:24:00","10uM",NA,NA,"2016-07-24 Sun"
"*** 55G08 CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","55G08","attP1","VK5","3","42:47","Dict(\"FB\" => 42:47)",2,NA,NA,NA,NA,NA,"2016-07-24 Sun"
"*** 55G08 CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","55G08","attP1","VK5","3","60:65","Dict(\"FB\" => 60:65)",3,NA,NA,NA,NA,NA,"2016-07-24 Sun"
"*** 67D09L CsChrimson  - 76E11 GCamp6m","Female","LexA","Gal4","67D09","76E11","attP1","VK5","3","71:82","Dict(\"LAL\" => 71:76,\"NO\" => 77:82)",4,NA,NA,NA,NA,NA,"2016-07-24 Sun"
"*** 55G08 CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","55G08","attP1","VK5","3","97:102","Dict(\"FB\" => 97:102)",5,NA,NA,NA,NA,NA,"2016-07-24 Sun"
"*** 55G08 CsChrimson  - 67D09L GCamp6m","Female","Gal4","LexA","67D09","55G08","attP1","VK5","3",NA,NA,NA,NA,NA,NA,NA,":Problematic:","2016-07-24 Sun"
"*** 72H06-attP5L Chrimson - SS02619 GC6m","Female","LexA","Gal4","72H06-attP5","SS02619","attP1","VK5","6","1:6","Dict(\"LAL\" =>1:6)",1,NA,NA,NA,NA,":Problematic:","2016-10-05 Wed"
"*** 55G08-attP5L Chrimson - SS02232 GC6m","Female","LexA","Gal4","55G08-attP5","SS02232","attP1","VK5","6","10:15","Dict(\"EB+NO\" =>10:15)",2,NA,NA,NA,NA,NA,"2016-10-05 Wed"
"*** 72H06-attP5L Chrimson - SS00935 GC6m","Female","LexA","Gal4","72H06-attP5","SS00935","attP1","VK5","6","2:7","Dict(\"LAL\" =>2:7)",1,NA,NA,NA,NA,":Problematic:","2016-11-28 Mon"
"*** 72H06-attP5L Chrimson - SS00935 GC6m","Female","LexA","Gal4","72H06-attP5","SS00935","attP1","VK5","6","1:6","Dict(\"LAL\" =>1:6)",1,NA,NA,NA,NA,":Problematic:","2016-12-05 Mon"
"*** VT008135 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","VT008135","attP1","VK5","6","1:22","Dict(\"Gall\" =>1:22)",1,"Mecamylamine","15:15:00 - 15:18:00","50uM",NA,NA,"2016-12-20 Tue"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","6","1:6","Dict(\"NO\" =>1:6)",1,NA,NA,NA,NA,NA,"2016-12-21 Wed"
"*** VT008135 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","VT008135","attP1","VK5","6","7:25","Dict(\"Gall\" =>7:25)",2,"Mecamylamine","15:32:00 - 15:35:00","50uM",NA,NA,"2016-12-21 Wed"
"*** 84H05L VK22 GC6m - SS00153 Chrimson","Female","Gal4","LexA","84H05-VK22","SS00153","attP1","VK5","6:7","1:6","Dict(\"PB-out\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-01-18 Wed"
"*** 84H05L VK22 GC6m - SS00153 Chrimson","Female","Gal4","LexA","84H05-VK22","SS00153","attP1","VK5","6:7","9:14","Dict(\"PB-out\" =>9:14)",2,NA,NA,NA,NA,NA,"2017-01-18 Wed"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","6:7","15:20","Dict(\"EB\" =>15:20)",3,NA,NA,NA,NA,NA,"2017-01-18 Wed"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","7:8","1:6","Dict(\"EB\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-01-19 Thu"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","7:8","7:12","Dict(\"EB\" =>7:12)",2,NA,NA,NA,NA,NA,"2017-01-19 Thu"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","7:8","13:18","Dict(\"EB\" =>13:18)",3,NA,NA,NA,NA,NA,"2017-01-19 Thu"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","7:8","19:24","Dict(\"EB\" =>19:24)",4,NA,NA,NA,NA,NA,"2017-01-19 Thu"
"*** VT008135 GC6m - 55G08L Chrimson","Female","LexA","Gal4","55G08","VT008135","attP1","VK5","7:8","25:30","Dict(\"EB\" =>25:30)",5,NA,NA,NA,NA,NA,"2017-01-19 Thu"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","5","1:6","Dict(\"NO\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-02-07 Tue"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","5","7:12","Dict(\"NO\" =>7:12)",2,NA,NA,NA,NA,NA,"2017-02-07 Tue"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","5","13:18","Dict(\"NO\" =>13:18)",3,NA,NA,NA,NA,NA,"2017-02-07 Tue"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","5","19:24","Dict(\"NO\" =>19:24)",4,NA,NA,NA,NA,NA,"2017-02-07 Tue"
"*** VT008135 GC6m - 60D05L Chrimson","Female","LexA","Gal4","60D05","VT008135","attP1","VK5","5","25:30","Dict(\"NO\" =>25:30)",5,NA,NA,NA,NA,NA,"2017-02-07 Tue"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","7:9","1:6","Dict(\"EB\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-02-13 Mon"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","7:9","8:13","Dict(\"EB\" =>8:13)",2,NA,NA,NA,NA,NA,"2017-02-13 Mon"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","6","1:6","Dict(\"EB\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-02-14 Tue"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","7","1:6","Dict(\"EB\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-02-16 Thu"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","6","7:12","Dict(\"EB\" =>7:12)",2,NA,NA,NA,NA,NA,"2017-02-16 Thu"
"*** 55G08-attP5L Chrimson - SS02191 GC6m","Female","LexA","Gal4","55G08-attP5","SS02191","attP1","VK5","6","13:18","Dict(\"EB\" =>13:18)",3,NA,NA,NA,NA,NA,"2017-02-16 Thu"
"*** 55G08-attP5L Chrimson - SS02232 GC6m","Female","LexA","Gal4","55G08-attP5","SS02232","attP1","VK5","7","19:24","Dict(\"EB+NO\" =>19:24)",4,NA,NA,NA,NA,NA,"2017-02-16 Thu"
"*** 55G08-attP5L Chrimson - SS02232 GC6m","Female","LexA","Gal4","55G08-attP5","SS02232","attP1","VK5","7","25:30","Dict(\"EB+NO\" =>25:30)",5,NA,NA,NA,NA,NA,"2017-02-16 Thu"
"*** 37F06L VK22 GC6m - SS02232 Chrimson","Female","Gal4","LexA","37F06-VK22","SS02232","attP1","VK5","6:7","1:6","Dict(\"PB\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-03-23 Thu"
"*** 37F06L VK22 GC6m - SS00153 Chrimson","Female","Gal4","LexA","37F06-VK22","SS00153","attP1","VK5","6:7","7:12","Dict(\"EB\" =>7:12)",2,NA,NA,NA,NA,NA,"2017-03-23 Thu"
"*** 37F06L VK22 GC6m - SS00153 Chrimson","Female","Gal4","LexA","37F06-VK22","SS00153","attP1","VK5","6:7","13:18","Dict(\"EB\" =>13:18)",3,NA,NA,NA,NA,NA,"2017-03-23 Thu"
"*** 37F06L VK22 GC6m - SS00153 Chrimson","Female","Gal4","LexA","37F06-VK22","SS00153","attP1","VK5","6:7","19:24","Dict(\"EB\" =>19:24)",4,NA,NA,NA,NA,NA,"2017-03-23 Thu"
"*** 37F06L VK22 GC6m - SS02191 Chrimson","Female","Gal4","LexA","37F06-VK22","SS02191","attP1","VK5","5:8","1:6","Dict(\"NO\" =>1:6)",1,NA,NA,NA,NA,NA,"2017-04-03 Mon"
"*** 37F06L VK22 GC6m - SS02191 Chrimson","Female","Gal4","LexA","37F06-VK22","SS02191","attP1","VK5","5:8","7:12","Dict(\"NO\" =>7:12)",2,NA,NA,NA,NA,NA,"2017-04-03 Mon"
